process_from,loc_from,process_to,loc_to,material,notes
sulfuric acid digestion,MY,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, High conf] MY SAD→MR oxide trade"
sulfuric acid digestion,MY,metallothermic reduction,US,dysprosium_oxide,"[AI validated: ok, High conf] MY SAD→MR oxide trade"
sulfuric acid digestion,MY,molten_salt electrolysis,CN,neodynium_oxide,"[AI validated: ok, High conf] MY SAD→MSE oxide trade"
sulfuric acid digestion,MY,molten_salt electrolysis,EE,neodynium_oxide,"[AI validated: ok, High conf] MY SAD→MSE oxide trade"
sulfuric acid digestion,MY,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, High conf] MY SAD→MSE oxide trade"
sulfuric acid digestion,MY,molten_salt electrolysis,US,neodynium_oxide,"[AI validated: ok, High conf] MY SAD→MSE oxide trade"
sulfuric acid digestion,US,metallothermic reduction,JP,dysprosium_oxide,"[AI validated: ok, Medium conf] US SAD→JP MR"
sulfuric acid digestion,US,molten_salt electrolysis,JP,neodynium_oxide,"[AI validated: ok, Medium conf] US SAD→JP MSE"
clay refining,MM,hydrochloric acid digestion,CN,dysprosium_oxide,"[AI validated: ok, High conf] MM→CN co-product DyOx; KIA-mediated; cost row existed"
hydrochloric acid digestion,MY,metallothermic reduction,EE,neodynium_oxide,"[AI validated: suspect, Medium conf] MY→EE co-product oxide; co-flow lock requires both oxides on arc"
sulfuric acid digestion,EE,metallothermic reduction,JP,neodynium_oxide,"[AI validated: ok, High conf] EE→JP co-product oxide; co-flow lock requires both oxides on arc"
sulfuric acid digestion,MY,metallothermic reduction,JP,neodynium_oxide,"[AI validated: ok, High conf] MY→JP co-product oxide; co-flow lock requires both oxides on arc"
clay refining,BR,metallothermic reduction,JP,dysprosium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
clay refining,BR,molten_salt electrolysis,JP,neodynium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
clay refining,MM,chemical transformation,CN,neodynium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
cryogenic,US,chemical transformation,CN,neodynium dysprosium iron alloy,Both Claude and GPT agreed this arc is commercially active [AI validated]
cryogenic,US,chemical transformation,JP,neodynium dysprosium iron alloy,Both Claude and GPT agreed this arc is commercially active [AI validated]
hydrochloric acid digestion,US,metallothermic reduction,CN,dysprosium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
hydrochloric acid digestion,US,metallothermic reduction,EE,dysprosium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
hydrochloric acid digestion,US,molten_salt electrolysis,EE,neodynium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
metallothermic reduction,US,magnet manufacturing,JP,dysprosium,Both Claude and GPT agreed this arc is commercially active [AI validated]
mining,AU,beneficiation,MY,bastnasite,Both Claude and GPT agreed this arc is commercially active [AI validated]
mining,AU,beneficiation,AU,bastnasite,Both Claude and GPT agreed this arc is commercially active [AI validated]
mining,AU,beneficiation,MY,monazaite,Both Claude and GPT agreed this arc is commercially active [AI validated]
mining,CA,beneficiation,CN,bastnasite,Both Claude and GPT agreed this arc is commercially active [AI validated]
mining,CN,chemical transformation,JP,neodynium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
sulfuric acid digestion,US,metallothermic reduction,US,dysprosium_oxide,Both Claude and GPT agreed this arc is commercially active [AI validated]
